exemplar,apple,apricot,banana,blackberry,blueberry,cherry,coconut,dates,fig,grape,grapefruit,kiwi,lemon,lime,lychee,mandarine,mango,melon,nectarine,orange,papaya,passion fruit,peach,pear,pineapple,plum,pumpkin,raspberry,red currant,strawberry
papaya,0.43235294117647055,0.6117647058823529,0.3176470588235294,0.35625,0.37941176470588234,0.4147058823529412,0.55,0.37058823529411766,0.4147058823529412,0.4294117647058823,0.5029411764705882,0.5147058823529412,0.3941176470588236,0.4617647058823529,0.4235294117647059,0.44117647058823534,0.5529411764705883,0.5529411764705883,0.4764705882352941,0.47352941176470587,1.0,0.4764705882352941,0.45,0.5235294117647059,0.4764705882352941,0.5294117647058824,0.3088235294117647,0.4676470588235294,0.39666666666666667,0.3205882352941177
passion fruit,0.39722222222222225,0.48611111111111105,0.32222222222222224,0.33611111111111114,0.3194444444444445,0.3611111111111111,0.4083333333333333,0.4027777777777778,0.4583333333333333,0.4027777777777778,0.42777777777777776,0.5277777777777778,0.5277777777777778,0.47777777777777775,0.5176470588235295,0.38055555555555554,0.5444444444444445,0.49722222222222223,0.5611111111111111,0.5527777777777778,0.4764705882352941,1.0,0.5083333333333333,0.36666666666666664,0.35,0.4333333333333333,0.3194444444444445,0.3638888888888889,0.4133333333333334,0.3638888888888889
peach,0.525,0.75,0.36666666666666664,0.3472222222222222,0.34444444444444444,0.4333333333333333,0.35277777777777775,0.38055555555555554,0.42777777777777776,0.4,0.5638888888888889,0.5444444444444445,0.4333333333333333,0.44722222222222224,0.4088235294117647,0.5083333333333333,0.586111111111111,0.575,0.7027777777777777,0.538888888888889,0.45,0.5083333333333333,1.0,0.4833333333333333,0.39166666666666666,0.6138888888888889,0.40555555555555556,0.42777777777777776,0.3,0.35277777777777775
pear,0.6527777777777778,0.5222222222222223,0.3888888888888889,0.29166666666666663,0.3194444444444445,0.3638888888888889,0.2694444444444445,0.4638888888888889,0.4916666666666667,0.33333333333333337,0.45555555555555555,0.4305555555555555,0.39166666666666666,0.40555555555555556,0.4088235294117647,0.3138888888888889,0.3944444444444445,0.4916666666666667,0.43888888888888894,0.49722222222222223,0.5235294117647059,0.33333333333333337,0.513888888888889,1.0,0.3472222222222222,0.5361111111111111,0.2694444444444445,0.35,0.27666666666666667,0.2972222222222222
pineapple,0.3138888888888889,0.37222222222222223,0.39722222222222225,0.28055555555555556,0.2694444444444445,0.275,0.5666666666666667,0.26666666666666666,0.2972222222222222,0.25833333333333336,0.38055555555555554,0.3611111111111111,0.3611111111111111,0.31666666666666665,0.4147058823529412,0.2861111111111111,0.3555555555555555,0.4527777777777778,0.3888888888888889,0.41944444444444445,0.4764705882352941,0.35,0.39166666666666666,0.3472222222222222,1.0,0.3,0.38333333333333336,0.2833333333333333,0.27666666666666667,0.3194444444444445
plum,0.513888888888889,0.7555555555555555,0.2972222222222222,0.4111111111111111,0.43611111111111106,0.48888888888888893,0.3611111111111111,0.611111111111111,0.611111111111111,0.5416666666666667,0.4027777777777778,0.5222222222222223,0.4444444444444445,0.4444444444444445,0.45588235294117646,0.45,0.5055555555555555,0.5305555555555556,0.625,0.5555555555555556,0.5294117647058824,0.4333333333333333,0.6138888888888889,0.5361111111111111,0.3,1.0,0.3388888888888889,0.4,0.42333333333333334,0.37222222222222223
pumpkin,0.4111111111111111,0.3,0.2611111111111111,0.23888888888888887,0.25555555555555554,0.22777777777777777,0.33333333333333337,0.2361111111111111,0.24444444444444446,0.23888888888888887,0.45,0.27222222222222225,0.37222222222222223,0.3388888888888889,0.2705882352941177,0.3416666666666667,0.37777777777777777,0.5055555555555555,0.36944444444444446,0.4111111111111111,0.3088235294117647,0.3194444444444445,0.40555555555555556,0.2694444444444445,0.38333333333333336,0.36944444444444446,1.0,0.23888888888888887,0.23666666666666666,0.225
raspberry,0.31666666666666665,0.36944444444444446,0.2777777777777778,0.8194444444444444,0.7388888888888889,0.6138888888888889,0.2972222222222222,0.4027777777777778,0.40555555555555556,0.538888888888889,0.31666666666666665,0.4083333333333333,0.35277777777777775,0.3764705882352941,0.5088235294117647,0.31666666666666665,0.3861111111111111,0.30277777777777776,0.34444444444444444,0.33333333333333337,0.4676470588235294,0.3638888888888889,0.42777777777777776,0.35,0.2833333333333333,0.4,0.23888888888888887,1.0,0.5933333333333334,0.6194444444444445
red currant,0.32666666666666666,0.36,0.3066666666666667,0.77,0.7366666666666666,0.7233333333333334,0.3433333333333333,0.3566666666666667,0.43,0.5599999999999999,0.3,0.44666666666666666,0.35,0.36333333333333334,0.4633333333333334,0.35333333333333333,0.31666666666666665,0.29333333333333333,0.35333333333333333,0.2966666666666667,0.39666666666666667,0.4133333333333334,0.3,0.27666666666666667,0.27666666666666667,0.42333333333333334,0.23666666666666666,0.5933333333333334,1.0,0.5166666666666667
strawberry,0.3416666666666667,0.35277777777777775,0.36666666666666664,0.5722222222222222,0.5333333333333333,0.6277777777777778,0.24444444444444446,0.425,0.4333333333333333,0.4527777777777778,0.30833333333333335,0.4138888888888889,0.3638888888888889,0.33529411764705885,0.4470588235294118,0.3611111111111111,0.36944444444444446,0.3611111111111111,0.3861111111111111,0.33055555555555555,0.3205882352941177,0.3638888888888889,0.35277777777777775,0.2972222222222222,0.3194444444444445,0.37222222222222223,0.225,0.6194444444444445,0.5166666666666667,1.0
