feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
sells various things,0,2,0,0,2,2,1,2,1,2,1,0,1.0833333333333333,0.90033663737852
serves people,0,1,1,1,1,1,-2,2,2,2,1,1,0.9166666666666666,1.0836246694508316
shouts to lure constumers,0,2,0,-3,2,2,-2,2,2,-2,2,0,0.4166666666666667,1.880924981991251
sits in a courtroom,1,1,0,-3,3,2,1,2,1,2,2,0,1.0,1.5374122295716148
sits in the cockpit,1,2,1,-3,3,3,2,3,2,2,2,0,1.5,1.6787441193290353
slaughters animals,-2,2,0,-3,2,1,-2,3,0,0,2,0,0.25,1.864744681524183
smells good,-3,0,0,-3,-2,-3,-3,-2,-2,-2,0,0,-1.6666666666666667,1.3026778945578592
solves computer problems,1,2,0,-2,1,3,1,0,2,1,1,0,0.8333333333333334,1.2673044646258473
solves problems,-1,1,0,1,1,1,1,1,-1,1,1,1,0.5833333333333334,0.7929614610987591
sometimes has to kill animals,-3,2,0,-3,1,3,-1,1,0,1,2,0,0.25,1.864744681524183
sometimes teaches,1,1,0,-1,2,1,1,1,-1,2,1,1,0.75,0.9653072991634227
sometimes works voluntarily,1,0,1,-2,3,-2,1,2,0,2,1,1,0.6666666666666666,1.497472618255253
sorts the mail,0,2,1,-3,3,3,2,3,1,2,2,0,1.3333333333333333,1.723280873710658
stages plays,-1,1,0,-3,2,3,1,3,2,2,1,0,0.9166666666666666,1.729862492345632
stands in front of a class,2,2,0,-1,3,3,1,3,3,2,1,0,1.5833333333333333,1.378954368902449
stands on a garbage truck,0,2,0,-3,3,3,1,3,2,1,2,0,1.1666666666666667,1.7494587907710375
stinks,-3,0,0,-3,-2,-3,-3,3,-2,0,0,0,-1.0833333333333333,1.8809249819912512
stops holes in teeth,1,2,0,-3,3,3,1,3,2,2,2,0,1.3333333333333333,1.723280873710658
