feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
flesh of the fruit,1,2,1,1,-1,0,0,2,1,0,1,-2,0.5,1.1677484162422844
food for rabbits,-2,2,-3,1,1,1,2,2,-3,1,2,-2,0.16666666666666666,2.037526724122938
for sale,2,3,-1,3,3,3,0,-3,-3,0,3,3,1.0833333333333333,2.391588796113782
for the horse of St Nicholas,-3,1,-3,2,-2,1,0,2,-3,-3,-2,-2,-1.0,2.04494943258218
fresh,2,3,-1,2,3,3,1,-3,-3,3,2,3,1.25,2.3011854652449344
garlic butter,2,-1,-2,1,-2,-2,-3,2,-3,-3,-2,-2,-1.25,1.864744681524183
gives flavour to dishes,3,-1,1,1,3,1,1,-1,-2,0,3,2,0.9166666666666666,1.6764862244009227
green colour,-2,1,1,-2,2,2,-3,-3,-3,-3,0,2,-0.6666666666666666,2.1881222058831145
green inside,-2,1,2,-2,0,0,-3,1,-3,-3,-2,2,-0.75,1.9598237397554634
grow in woods,0,1,2,0,-1,1,-3,-3,-3,-3,-2,-2,-1.0833333333333333,1.8319554050414562
grows,0,3,1,3,3,3,3,-2,0,3,3,2,1.8333333333333333,1.696699112626596
grows at a bush,0,1,1,1,1,0,2,1,-2,0,-1,2,0.5,1.1677484162422844
grows at a cob,-2,-1,2,1,1,1,-3,2,-3,-3,0,-2,-0.5833333333333334,1.9752253419585197
grows at a plant,-1,1,2,1,3,1,2,1,-3,3,3,-2,0.9166666666666666,1.9752253419585197
grows at stalks,-1,1,1,1,1,1,-3,1,-3,-3,0,2,-0.16666666666666666,1.8504708655481243
grows at trees,0,1,1,1,-1,-2,-3,1,-3,-3,-2,-2,-1.0,1.7056057308448835
grows fast,2,0,1,1,3,3,0,-3,-3,0,0,-2,0.16666666666666666,2.0375267241229382
grows gregariously,-2,-1,2,1,1,-2,0,1,-3,0,-1,2,-0.16666666666666666,1.6422453217986943
grows in Belgium,3,1,1,-1,2,1,-3,-3,-3,3,1,2,0.3333333333333333,2.2696949467968492
grows in glasshouse,1,1,1,2,3,2,1,1,-3,3,2,1,1.25,1.5447859516333116
grows in heads,0,1,1,2,1,1,-3,2,-3,1,-2,2,0.25,1.864744681524183
grows in manure,-2,0,2,1,-2,-3,-3,2,-3,3,2,-3,-0.5,2.393172105652397
grows in moderate climat,2,1,1,-1,1,1,-3,-3,-3,3,0,2,0.08333333333333333,2.108783937953269
grows in the dark,1,-1,2,1,0,1,-3,-3,-3,0,-1,-2,-0.6666666666666666,1.775250729197189
grows in the garden,-1,2,1,2,3,2,-3,1,-1,3,2,3,1.1666666666666667,1.898963034411309
grows in the ground,-2,2,1,2,2,1,2,1,-3,1,2,2,0.9166666666666666,1.6764862244009224
grows in the vegetable garden,2,2,1,2,3,2,3,1,-2,3,2,2,1.75,1.3568010505999362
grows in the winter,0,0,2,2,1,1,0,-3,-3,-3,0,2,-0.08333333333333333,1.9286515936521478
grows in warm regions,1,2,2,1,0,0,-3,1,-3,2,-2,1,0.16666666666666666,1.8504708655481241
grows low to the ground,-2,1,2,2,3,2,3,1,-3,-3,1,2,0.75,2.179449471770337
grows on humid places,-1,-1,1,1,-1,1,1,-2,-3,0,-1,-1,-0.5,1.3142574813455419
grows on the field,0,2,1,1,3,3,2,2,-3,3,1,2,1.4166666666666667,1.6764862244009227
grows under the ground,-2,1,3,2,2,1,2,1,-3,0,-1,2,0.6666666666666666,1.8257418583505538
has a brown skin,-2,0,1,-1,-1,-1,-3,1,-3,-3,-2,2,-1.0,1.7056057308448835
has a core,0,-1,2,1,-1,2,-3,-1,-3,0,2,2,0.0,1.8586407545691703
has a crown,-1,-1,2,1,0,1,-3,-3,-3,-3,-1,2,-0.75,1.9598237397554634
has a green stalk,0,1,2,2,1,1,-3,0,-3,-3,-2,2,-0.16666666666666666,2.0375267241229382
has a point,-2,-1,1,0,-1,-2,-3,-3,-3,-3,-1,-1,-1.5833333333333333,1.3113721705515065
has a sharp taste,3,-2,3,1,0,1,-3,-3,-3,-3,0,0,-0.5,2.2763607319179844
has a skin,-1,2,1,2,1,0,-3,1,1,3,0,2,0.75,1.6025547785276542
has a stalk,1,1,1,1,1,1,-3,-1,-3,-3,2,3,0.08333333333333333,2.0652243256245835
has a tail,-3,-1,1,1,-2,-3,-3,-1,-3,-3,-2,-2,-1.75,1.4847711791873706
has a typical taste,2,1,0,0,0,2,-3,-2,-3,0,1,1,-0.08333333333333333,1.729862492345632
has eyes,-2,-1,1,-1,-2,-2,-3,-3,-3,0,-3,-3,-1.8333333333333333,1.3371158468430429
has flowers,-2,-1,2,1,-1,1,-3,-2,-3,1,-1,2,-0.5,1.834021909257456
has green,-2,1,2,2,2,1,-3,3,-3,3,-1,0,0.4166666666666667,2.1933093855190746
has green green,-1,2,0,3,3,2,0,3,-3,3,-1,1,1.0,2.0
has green leaves,-1,2,1,2,3,1,-3,1,-3,3,-2,3,0.5833333333333334,2.2746961169005466
has leaves,0,-1,1,1,1,1,-3,1,-3,0,-1,2,-0.08333333333333333,1.6213537179739277
has little leaves,-2,1,1,0,1,1,-3,-1,-3,-3,1,1,-0.5,1.7837651700316894
has roots,-2,1,1,1,0,2,0,2,-3,3,1,2,0.6666666666666666,1.7232808737106582
has seeds,2,2,1,1,0,0,-3,1,-3,-3,0,0,-0.16666666666666666,1.8504708655481243
has several layers,-2,2,1,1,-2,1,-3,1,-3,0,2,2,0.0,1.954016841836789
has trace elements,0,0,2,1,-1,-1,-3,1,-3,-3,-2,-2,-0.9166666666666666,1.7298624923456323
has veins,-2,2,3,-1,-1,1,-3,-2,-3,-3,-2,-2,-1.0833333333333333,2.0207259421636903
in salad,1,1,-3,2,1,3,-3,1,-3,-3,-2,-2,-0.5833333333333334,2.274696116900546
in slices,2,2,-2,-1,2,2,-3,-3,-3,0,0,2,-0.16666666666666666,2.167249338901663
in sour,2,-1,-2,-1,0,-1,-3,-1,-3,0,0,-2,-1.0,1.4142135623730951
in spaghetti,3,2,-1,2,3,3,-3,-2,-3,0,-2,2,0.3333333333333333,2.424621182533032
in the summer,1,1,1,2,2,3,-3,-3,-3,-3,0,1,-0.08333333333333333,2.274696116900546
is European,-2,2,1,-1,1,2,-3,-3,-3,0,-1,2,-0.4166666666666667,2.0207259421636903
is a flemish dish,2,2,0,1,2,3,-3,2,-3,3,-2,2,0.75,2.220769727328383
is a fruit,-1,-2,2,0,1,1,-3,3,2,3,2,2,0.8333333333333334,1.9462473604038075
is a heap leaves,0,-1,-1,2,1,1,-3,-3,-3,-3,-2,0,-1.0,1.8090680674665818
is a herb,1,1,2,1,-1,0,-3,-3,-3,-3,-3,1,-0.8333333333333334,2.0375267241229382
is a kind of fungus,-2,-3,2,1,-1,-2,-3,1,-3,-3,-2,-2,-1.4166666666666667,1.781640374554423
is a leaf vegetable,0,2,2,1,1,2,-3,1,-3,0,-2,2,0.25,1.9128750375000738
is a legume,-2,2,2,1,2,2,-3,2,-3,0,-2,2,0.25,2.137330535547045
is a plant,-2,-1,3,1,3,1,2,-3,-3,3,2,2,0.6666666666666666,2.309401076758503
is a vegetable,3,3,1,3,3,3,3,3,0,3,3,3,2.5833333333333335,0.9962049198956219
is a winter vegetable,1,1,0,2,1,1,-3,3,-3,-3,-1,0,-0.08333333333333333,2.02072594216369
is also called egg plant,0,-1,3,1,0,0,-3,1,-3,-3,-2,-2,-0.75,1.9128750375000738
is an indigenous vegetable,1,2,1,-1,1,1,-3,2,-3,3,-1,2,0.4166666666666667,1.9752253419585197
is boiled,2,3,0,1,3,3,2,-3,-2,3,2,2,1.3333333333333333,2.0150945537631877
is cheap,3,2,-1,-2,0,-1,-3,-3,-3,3,-1,0,-0.5,2.195035721390843
is cultivated (gekweekt),0,1,2,2,3,0,2,0,-1,3,3,2,1.4166666666666667,1.378954368902449
is cultivated (geteeld),1,3,1,3,3,3,1,0,-1,3,3,2,1.8333333333333333,1.403458930534474
is cultivated by farmers,2,2,1,2,3,3,1,-1,-3,3,3,2,1.5,1.834021909257456
is cultivated on water,1,-1,3,0,-1,1,-3,2,-3,-3,-2,-2,-0.6666666666666666,2.059714602177749
is delicious with chees,1,1,-2,1,1,2,-3,-3,-3,1,1,-2,-0.4166666666666667,1.9752253419585197
is delicious with meat,2,3,-1,2,2,3,-3,-2,-3,3,2,-3,0.4166666666666667,2.5746432527221863
is delicious with sausage,1,2,-2,2,1,3,-3,-1,-3,-3,1,-3,-0.4166666666666667,2.314316444667973
