feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
often contained in shampoo,1,-3,0,-3,-3,-1,0,0,1,-2,-2,-3,-1.25,1.6025547785276542
often eaten with ham,-3,0,2,1,1,-1,1,0,3,-3,1,-3,-0.08333333333333333,2.0207259421636903
often has a yellow peel,-1,0,2,1,-2,-1,1,-1,1,-3,0,-3,-0.5,1.6236882817719773
often used for deserts,1,1,2,3,1,-1,3,-1,0,1,2,1,1.0833333333333333,1.3113721705515065
orange colour,1,0,1,-2,0,0,1,1,2,-3,1,-3,-0.08333333333333333,1.6764862244009227
pear-shaped,-1,3,0,-1,0,-1,-1,-1,2,-3,1,-3,-0.4166666666666667,1.781640374554423
purple colour,-3,-3,0,-1,2,-1,-1,-1,2,-3,0,-3,-1.0,1.8090680674665818
purple outside,-3,-3,0,-2,1,-1,-1,-1,2,-3,-1,-3,-1.25,1.6583123951777
quenches hunger,2,1,1,3,3,0,3,1,0,2,2,-3,1.25,1.712255291076124
red colour,0,-3,1,2,0,0,-1,0,1,-3,1,-3,-0.4166666666666667,1.7298624923456323
red colour inside,-1,-3,1,-1,0,1,1,-1,2,-3,1,-3,-0.5,1.7837651700316894
red-blue,-3,-3,0,-2,1,-1,-1,-1,2,-3,1,-3,-1.0833333333333333,1.7816403745544227
red-yellow,0,-3,0,-1,1,-1,-1,-1,2,-3,1,-3,-0.75,1.6583123951777
resembles lemons,0,1,0,-1,-2,-1,-2,1,1,-3,1,0,-0.4166666666666667,1.378954368902449
resembles oranges,1,1,2,1,2,-1,1,-1,1,-3,1,0,0.4166666666666667,1.4433756729740643
resembles peaches,-2,1,0,0,0,-1,0,0,1,-3,1,0,-0.25,1.2154310870109943
resembles raspberries,-2,1,1,1,0,0,1,0,1,-3,-1,0,-0.08333333333333333,1.3113721705515065
resembles tangerines,-2,1,0,1,1,-1,1,-1,2,-3,1,0,0.0,1.4770978917519928
rich in calories,-1,3,-3,-3,1,1,2,1,-1,-3,1,-3,-0.4166666666666667,2.1933093855190746
rich in vitamine C,3,3,2,2,3,1,3,3,1,1,3,1,2.1666666666666665,0.937436866561092
rose outside,-3,-3,-3,-2,0,-1,-1,-1,2,-3,1,-3,-1.4166666666666667,1.729862492345632
rots after a while,2,3,3,2,3,1,3,2,-2,1,2,1,1.75,1.4222261679238197
rottens fast,-1,3,1,2,2,1,2,1,0,0,1,2,1.1666666666666667,1.1146408580454257
rough outside,0,3,0,-2,1,-1,-1,0,1,-3,-1,-3,-0.5,1.7320508075688772
santa gives it to you (in dutch: sinterklaas),0,0,1,1,0,-1,-1,1,2,-3,1,-3,-0.16666666666666666,1.5859229221975182
seeds,0,3,-1,1,2,-1,2,1,1,-3,-1,-3,0.08333333333333333,1.9286515936521478
sirup,-3,0,2,2,0,-2,-3,-1,1,-3,1,-3,-0.75,2.0056737702645644
small and round,0,3,-2,0,2,-1,1,-1,2,-3,1,-3,-0.08333333333333333,1.97522534195852
smells nice,-1,3,3,-1,3,1,1,1,0,-3,1,-3,0.4166666666666667,2.108783937953269
smells sweet,2,3,1,2,2,1,2,2,1,0,1,-3,1.1666666666666667,1.5275252316519468
south,3,3,1,1,1,-2,3,1,-1,-3,2,-3,0.5,2.23606797749979
special taste,0,3,1,1,2,1,3,1,1,-3,1,2,1.0833333333333333,1.5642792899510294
sticky,0,2,0,2,2,1,1,1,1,-1,-2,-3,0.3333333333333333,1.6143297699232975
stimulates the functioning of the intestines,1,3,2,2,0,-1,1,1,-3,2,2,-3,0.5833333333333334,1.9752253419585197
summerfruit,0,3,3,2,2,1,3,-1,1,-3,2,1,1.1666666666666667,1.80067327475704
sweet taste,2,3,0,2,3,2,3,1,1,-3,2,-3,1.0833333333333333,2.108783937953269
tastes fresh,2,3,3,2,3,1,2,2,0,1,3,-3,1.5833333333333333,1.729862492345632
tastes sweet-and-sour,3,3,0,0,3,0,2,2,2,-3,2,-3,0.9166666666666666,2.151461800448216
tasty,3,3,2,2,3,1,3,2,-3,2,2,-3,1.4166666666666667,2.151461800448216
tasty with ice,1,0,0,2,0,-1,3,2,0,2,2,-3,0.6666666666666666,1.6696942198734437
the flesh of this fruit is rather hard,-2,3,1,1,1,0,0,-1,2,-3,0,-3,-0.08333333333333333,1.8809249819912508
the peel is bitter,-2,2,0,-2,0,-1,2,1,0,-3,0,-3,-0.5,1.7320508075688772
the peel is not eddible,2,3,1,1,2,-1,1,-1,0,-3,1,-3,0.25,1.9128750375000738
"thick at the bottom, more slender at the top",-2,1,-1,0,0,-2,1,-1,1,-3,1,-3,-0.6666666666666666,1.556997888323046
thick peel,-1,2,0,2,0,1,0,-1,1,-3,1,-3,-0.08333333333333333,1.6764862244009227
thirst-quenching,2,3,-1,2,3,-1,2,2,2,1,2,-3,1.1666666666666667,1.8504708655481241
typically french,-1,-1,0,1,2,-1,0,1,2,-3,0,-3,-0.25,1.6583123951777
used for decoration,0,-1,0,0,0,-2,-1,1,0,-3,2,-3,-0.5833333333333334,1.5050420310248864
used for making fruitsalad,1,2,3,2,2,1,3,2,1,3,3,-3,1.6666666666666667,1.669694219873444
used for making icecream,-2,0,2,1,0,-1,1,-2,1,-3,1,-3,-0.4166666666666667,1.7298624923456323
used for making jam,-1,0,3,1,0,0,3,1,2,2,2,-3,0.8333333333333334,1.7494587907710375
used for making soft drinks,-2,-2,0,1,0,-1,3,-2,1,-3,2,-3,-0.5,1.9771421064483223
used for making wine,-1,1,2,2,1,-1,0,-1,3,-3,2,-3,0.16666666666666666,1.9924098397912438
used in (dutch) proverb,-2,-3,0,-1,-3,-3,-3,0,-1,-3,0,-3,-1.8333333333333333,1.337115846843043
"used in (dutch) proverb, as flat as a fig",-1,-2,2,1,0,-2,-2,-1,3,0,0,-3,-0.4166666666666667,1.7816403745544227
used in cake (in dutch: taart),-2,0,2,2,0,-1,1,2,1,2,0,-3,0.3333333333333333,1.6696942198734437
used in cocktails,0,0,3,1,0,-1,1,1,1,-3,2,-3,0.16666666666666666,1.80067327475704
used in dishes,0,2,1,1,0,1,0,0,0,1,2,-3,0.4166666666666667,1.3113721705515065
used in fruit pap,2,0,2,2,3,-1,3,2,0,1,3,1,1.5,1.3142574813455419
used in yoghurt,-2,-3,2,1,0,-1,1,2,1,1,2,-3,0.08333333333333333,1.8809249819912512
used on haloween,-2,2,-1,0,-3,-2,0,-1,3,-3,0,-3,-0.8333333333333334,1.9462473604038073
used to give extra taste,0,3,0,1,1,-1,3,0,1,-2,1,-3,0.3333333333333333,1.775250729197189
used to make applesauce,-1,1,3,3,2,-1,-1,0,3,-3,2,-3,0.4166666666666667,2.2343733444579588
watery,0,3,0,2,3,0,0,1,2,-3,2,-3,0.5833333333333334,2.0207259421636903
we can eat it the whole year through,1,2,1,1,3,0,0,2,1,1,3,-3,1.0,1.5954480704349312
white flesh,-2,-2,-1,0,1,1,-1,-1,2,-3,-1,-3,-0.8333333333333334,1.5859229221975182
wrinkled,-3,3,0,1,0,-1,-2,-1,1,-3,-1,-3,-0.75,1.864744681524183
yellow,1,-3,1,-2,0,0,1,1,1,-3,1,-3,-0.4166666666666667,1.781640374554423
yellow inside,0,3,0,-1,1,0,1,-1,2,-3,1,-3,0.0,1.8090680674665818
you buy it in shops,2,0,-1,0,0,-1,2,1,-2,1,2,-3,0.08333333333333333,1.621353717973928
you can eat it with a teaspoon,-1,3,-2,-1,0,-2,-2,0,0,-3,-1,-3,-1.0,1.651445647689541
you can empty it to put a candle inside,-2,-3,-3,1,0,-2,1,-1,3,-3,-2,-3,-1.1666666666666667,1.992409839791244
you can make milkshake from it,-1,0,2,2,1,-1,1,1,0,0,2,-3,0.3333333333333333,1.497472618255253
you can slip on the peel,-2,1,2,2,0,-2,-1,2,3,-3,-1,-3,-0.16666666666666666,2.1248885888797826
you can use it to make juice,3,2,2,2,3,0,3,2,1,-1,3,-3,1.4166666666666667,1.8809249819912512
