feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
is practised on a mat,2,1,-3,-2,2,1,2,0,1,1,1,0,0.5,1.5666989036012806
is practised on a piste,1,1,-1,-2,2,0,3,3,1,0,2,1,0.9166666666666666,1.5050420310248864
is practised on a ski run,2,1,-3,-2,2,1,3,0,0,1,1,0,0.5,1.6787441193290353
is practised on a special ground,1,0,-1,-2,2,1,2,0,1,1,-1,2,0.5,1.3142574813455419
is practised on bare feet,1,0,-3,-2,0,1,1,0,-2,1,0,0,-0.25,1.3568010505999362
is practised on high waves,2,1,-3,-3,1,1,2,0,-2,1,1,0,0.08333333333333333,1.781640374554423
is practised on ice,2,1,-2,-2,1,1,3,3,-1,1,1,0,0.6666666666666666,1.6696942198734437
is practised on promenade walks,3,0,-3,-2,-3,1,1,0,-2,1,0,0,-0.3333333333333333,1.825741858350554
is practised on sand,1,1,-2,-2,-1,1,1,0,-2,1,-1,0,-0.25,1.2880570286640687
is practised on several fields,-1,3,1,2,3,1,2,0,1,1,1,2,1.3333333333333333,1.1547005383792515
"is practised on several fields: grass, gravel or hard court",2,2,-2,0,3,3,3,0,1,2,2,0,1.3333333333333333,1.5569978883230458
is practised on skis,2,1,-3,-2,2,1,3,3,2,2,1,0,1.0,1.8586407545691703
is practised on snow,2,0,-3,-2,1,1,1,0,-1,1,1,0,0.08333333333333333,1.4433756729740645
is practised on the public highway,-1,0,-3,-1,0,0,1,2,-3,1,1,1,-0.16666666666666666,1.5859229221975182
is practised on water,1,1,-2,-2,1,1,1,3,-2,1,0,1,0.3333333333333333,1.556997888323046
is practised outdoor,-2,1,1,1,3,2,2,2,-1,1,2,2,1.1666666666666667,1.4034589305344742
is practised over a net,1,1,-1,-1,3,1,3,1,2,1,2,0,1.0833333333333333,1.3113721705515065
is practised when there is snow,2,-3,-2,-2,1,0,2,0,0,1,1,0,0.0,1.5954480704349312
is practised with a ball,-2,2,-1,-2,-2,1,1,3,-2,1,1,1,0.08333333333333333,1.781640374554423
is practised with a ball and a bat,2,1,-3,-3,-1,1,2,0,-1,1,1,-1,-0.08333333333333333,1.729862492345632
is practised with a ball that bounces well,-1,0,-3,-3,-3,0,1,0,-2,1,0,0,-0.8333333333333334,1.5275252316519465
