feature,respondent 0,respondent 1,respondent 10,respondent 11,respondent 2,respondent 3,respondent 4,respondent 5,respondent 6,respondent 7,respondent 8,respondent 9,mean,std
is een bladgroente,0,2,2,1,1,2,-3,1,-3,0,-2,2,0.25,1.9128750375000738
is een groente,3,3,1,3,3,3,3,3,0,3,3,3,2.5833333333333335,0.9962049198956219
is een hoopje bladeren,0,-1,-1,2,1,1,-3,-3,-3,-3,-2,0,-1.0,1.8090680674665818
is een inheemse groente,1,2,1,-1,1,1,-3,2,-3,3,-1,2,0.4166666666666667,1.9752253419585197
is een kruid,1,1,2,1,-1,0,-3,-3,-3,-3,-3,1,-0.8333333333333334,2.0375267241229382
is een plant,-2,-1,3,1,3,1,2,-3,-3,3,2,2,0.6666666666666666,2.309401076758503
is een vrucht,-1,-2,2,0,1,1,-3,3,2,3,2,2,0.8333333333333334,1.9462473604038075
is een wintergroente,1,1,0,2,1,1,-3,3,-3,-3,-1,0,-0.08333333333333333,2.02072594216369
is geel,0,-1,1,-2,0,0,-3,-3,-3,-3,0,2,-1.0,1.7580981459830651
is gezond,1,3,1,3,3,3,0,0,-1,3,2,3,1.75,1.4847711791873706
is glad,-2,2,1,-1,-1,-1,-3,-2,-3,-3,0,1,-1.0,1.7056057308448835
is goed voor de ogen,-1,1,1,2,1,1,-3,1,-3,0,-2,2,0.0,1.8090680674665818
is goedkoop,3,2,-1,-2,0,-1,-3,-3,-3,3,-1,0,-0.5,2.195035721390843
is hard,1,1,1,-1,0,1,-3,-3,-3,-3,0,2,-0.5833333333333334,1.928651593652148
is klein,1,2,0,-1,-1,0,-3,-3,-3,-3,0,2,-0.75,1.9128750375000738
is lang,-2,1,0,0,-1,1,-3,-3,-3,-3,0,2,-0.9166666666666666,1.8319554050414564
is lang en smal,-2,0,1,-1,1,0,-3,-3,-3,-3,1,2,-0.8333333333333334,1.8989630344113089
is langwerpig,-2,-1,-1,-1,0,0,-3,-3,-3,-3,0,2,-1.25,1.6025547785276542
is lekker met cocktailsaus,2,2,-2,1,1,2,-3,-2,-3,0,0,2,0.0,2.0
is niet lekker,3,-2,-3,-2,-1,-2,2,-3,-3,-3,0,-3,-1.4166666666666667,2.0652243256245835
is oranje,-1,-1,1,-1,0,1,-3,-3,-3,-3,0,2,-0.9166666666666666,1.781640374554423
is ovaal,-2,0,1,-1,0,0,-3,-3,-3,-3,0,2,-1.0,1.7580981459830651
is paars,-2,-1,1,1,-2,1,-3,-3,-3,-3,0,-2,-1.3333333333333333,1.6696942198734437
is peulvrucht,-2,2,2,1,2,2,-3,2,-3,0,-2,2,0.25,2.137330535547045
is pikant,2,-2,-1,1,-1,0,-3,0,-3,-3,-2,-1,-1.0833333333333333,1.6213537179739277
is rond,-3,1,0,1,0,1,-3,-1,-3,-3,0,3,-0.5833333333333334,2.0207259421636903
is rood,-2,1,1,-1,1,1,-3,-3,-3,-3,0,2,-0.75,1.9598237397554634
"is rood, groen of geel",1,1,1,-1,1,1,-3,3,-3,-3,0,2,0.0,2.04494943258218
is sappig,1,3,1,1,1,3,2,-3,-3,-3,0,2,0.4166666666666667,2.2343733444579588
is smal,-2,1,0,-1,0,0,-3,-3,-3,-3,0,1,-1.0833333333333333,1.6213537179739277
is soort schimmel,-2,-3,2,1,-1,-2,-3,1,-3,-3,-2,-2,-1.4166666666666667,1.781640374554423
is typisch Belgisch,2,0,1,2,1,2,-3,-3,-3,-3,-2,-3,-0.75,2.261335084333227
