exemplar,aambeeld,beitel,bijl,boormachine,breekijzer,engelse sleutel,grasmachine,hamer,houtklem,houweel,koevoet,kruiwagen,mes,moersleutel,oliespuit,plamuurmes,ploeg,schaaf,schop,schroevendraaier,slijpschijf,spijker,staalborstel,stofzuiger,tang,touw,verfborstel,vijl,waterpas,zaag
slijpschijf,0.2529411764705882,0.2861111111111111,0.2777777777777778,0.5055555555555555,0.3235294117647059,0.2323529411764706,0.4222222222222222,0.22222222222222224,0.2928571428571428,0.2833333333333333,0.29444444444444445,0.2,0.43611111111111106,0.240625,0.14333333333333334,0.30588235294117644,0.26176470588235295,0.6071428571428571,0.27222222222222225,0.25555555555555554,1.0,0.2694444444444445,0.309375,0.23333333333333334,0.2361111111111111,0.16944444444444445,0.19166666666666668,0.5111111111111111,0.2235294117647059,0.4527777777777778
spijker,0.18823529411764706,0.40555555555555556,0.25277777777777777,0.25833333333333336,0.29411764705882354,0.29705882352941176,0.13055555555555556,0.3,0.2357142857142857,0.30277777777777776,0.25833333333333336,0.12777777777777777,0.33611111111111114,0.346875,0.21666666666666665,0.25,0.1911764705882353,0.30714285714285716,0.2861111111111111,0.37222222222222223,0.2694444444444445,1.0,0.3,0.16666666666666669,0.21388888888888888,0.16111111111111112,0.25277777777777777,0.3611111111111111,0.2111111111111111,0.22222222222222224
staalborstel,0.2375,0.346875,0.296875,0.2125,0.27666666666666667,0.3,0.221875,0.25625,0.25,0.30625,0.284375,0.14375,0.2676470588235294,0.28214285714285714,0.21428571428571427,0.32999999999999996,0.2733333333333333,0.4576923076923077,0.240625,0.25625,0.309375,0.3,1.0,0.184375,0.3375,0.17941176470588235,0.646875,0.490625,0.221875,0.33125
stofzuiger,0.16764705882352943,0.14166666666666666,0.1638888888888889,0.25833333333333336,0.1588235294117647,0.18235294117647058,0.4527777777777778,0.1638888888888889,0.20357142857142857,0.16111111111111112,0.2,0.30277777777777776,0.13333333333333333,0.146875,0.15333333333333335,0.2,0.22058823529411767,0.2357142857142857,0.2111111111111111,0.16944444444444445,0.23333333333333334,0.16666666666666669,0.184375,1.0,0.16944444444444445,0.14722222222222223,0.19166666666666668,0.16111111111111112,0.16944444444444445,0.15277777777777776
tang,0.24117647058823527,0.37222222222222223,0.3,0.20555555555555555,0.45294117647058824,0.4676470588235294,0.18888888888888888,0.35277777777777775,0.38571428571428573,0.2823529411764706,0.42058823529411765,0.17222222222222222,0.3277777777777778,0.47000000000000003,0.16999999999999998,0.30588235294117644,0.24705882352941178,0.2857142857142857,0.22777777777777777,0.33611111111111114,0.2361111111111111,0.21388888888888888,0.3375,0.16944444444444445,1.0,0.18333333333333332,0.25,0.2972222222222222,0.22222222222222224,0.25555555555555554
touw,0.1388888888888889,0.14722222222222223,0.15833333333333333,0.13333333333333333,0.1588235294117647,0.15,0.125,0.14444444444444443,0.24285714285714283,0.17222222222222222,0.14444444444444443,0.14444444444444443,0.15,0.20625,0.17333333333333334,0.14705882352941177,0.17941176470588235,0.18333333333333332,0.15277777777777776,0.15277777777777776,0.16944444444444445,0.16111111111111112,0.17941176470588235,0.14722222222222223,0.18333333333333332,1.0,0.18333333333333332,0.1638888888888889,0.15555555555555556,0.1638888888888889
verfborstel,0.18235294117647058,0.36666666666666664,0.23888888888888887,0.17777777777777776,0.24411764705882355,0.2647058823529412,0.14722222222222223,0.22222222222222224,0.26071428571428573,0.27222222222222225,0.25833333333333336,0.17777777777777776,0.21944444444444447,0.25625,0.22999999999999998,0.37058823529411766,0.17352941176470588,0.24285714285714283,0.18611111111111112,0.3055555555555555,0.19166666666666668,0.25277777777777777,0.646875,0.19166666666666668,0.25,0.18333333333333332,1.0,0.33611111111111114,0.22777777777777777,0.21388888888888888
vijl,0.2,0.5666666666666667,0.35833333333333334,0.275,0.3823529411764706,0.27647058823529413,0.18611111111111112,0.27222222222222225,0.22142857142857145,0.3638888888888889,0.33055555555555555,0.1638888888888889,0.6,0.33125,0.21000000000000002,0.45,0.21176470588235294,0.625,0.29444444444444445,0.37777777777777777,0.5111111111111111,0.3611111111111111,0.490625,0.16111111111111112,0.2972222222222222,0.1638888888888889,0.33611111111111114,1.0,0.2111111111111111,0.41944444444444445
waterpas,0.23529411764705882,0.2833333333333333,0.21944444444444447,0.23888888888888887,0.24705882352941178,0.26176470588235295,0.1638888888888889,0.25555555555555554,0.2642857142857143,0.24705882352941178,0.2694444444444445,0.175,0.25555555555555554,0.225,0.15666666666666668,0.3588235294117647,0.16470588235294117,0.3,0.18333333333333332,0.225,0.2235294117647059,0.2111111111111111,0.221875,0.16944444444444445,0.22222222222222224,0.15555555555555556,0.22777777777777777,0.2111111111111111,1.0,0.21944444444444447
zaag,0.19411764705882353,0.325,0.4222222222222222,0.3055555555555555,0.27941176470588236,0.25882352941176473,0.21388888888888888,0.375,0.23214285714285715,0.2361111111111111,0.3138888888888889,0.18055555555555555,0.5777777777777777,0.2375,0.15666666666666668,0.2852941176470588,0.3,0.4769230769230769,0.2833333333333333,0.23888888888888887,0.4527777777777778,0.22222222222222224,0.33125,0.15277777777777776,0.25555555555555554,0.1638888888888889,0.21388888888888888,0.41944444444444445,0.21944444444444447,1.0
