exemplar,auto,boot,bromfiets,brommer,bus,camion,camionette,caravan,duikboot,fiets,gocart,helikopter,hovercraft,jeep,kar,koets,luchtballon,metrostel,moto,raket,skateboard,slede,step,taxi,tractor,tram,trein,vliegtuig,vrachtwagen,zeppelin
skateboard,0.3142857142857143,0.26071428571428573,0.3321428571428572,0.37142857142857144,0.275,0.26071428571428573,0.25,0.2785714285714286,0.21785714285714283,0.45,0.5392857142857144,0.23214285714285715,0.2642857142857143,0.30357142857142855,0.38571428571428573,0.35714285714285715,0.22142857142857145,0.24285714285714283,0.38571428571428573,0.25357142857142856,1.0,0.6,0.7178571428571429,0.3321428571428572,0.2571428571428572,0.25357142857142856,0.21785714285714283,0.26071428571428573,0.24285714285714283,0.21785714285714283
slede,0.4,0.25357142857142856,0.2857142857142857,0.2928571428571428,0.29642857142857143,0.2785714285714286,0.24642857142857144,0.35357142857142854,0.21428571428571427,0.34285714285714286,0.49642857142857144,0.25357142857142856,0.35,0.28928571428571426,0.5714285714285714,0.5642857142857143,0.2571428571428572,0.3107142857142857,0.32857142857142857,0.20357142857142857,0.6,1.0,0.5035714285714286,0.4,0.275,0.30714285714285716,0.2857142857142857,0.24285714285714283,0.2642857142857143,0.2357142857142857
step,0.3321428571428572,0.23928571428571427,0.45,0.4607142857142857,0.3142857142857143,0.25357142857142856,0.275,0.3,0.23214285714285715,0.6535714285714286,0.5285714285714286,0.21785714285714283,0.21071428571428572,0.30357142857142855,0.42142857142857143,0.325,0.2357142857142857,0.25357142857142856,0.4607142857142857,0.225,0.7178571428571429,0.5035714285714286,1.0,0.26071428571428573,0.25357142857142856,0.30714285714285716,0.26785714285714285,0.19642857142857142,0.20714285714285716,0.21428571428571427
taxi,0.9035714285714287,0.30357142857142855,0.3892857142857143,0.39285714285714285,0.575,0.5,0.5821428571428571,0.41785714285714287,0.26071428571428573,0.3321428571428572,0.39285714285714285,0.30714285714285716,0.3107142857142857,0.65,0.49642857142857144,0.5464285714285715,0.2785714285714286,0.41785714285714287,0.45,0.2642857142857143,0.3321428571428572,0.4,0.26071428571428573,1.0,0.4035714285714286,0.46785714285714286,0.43571428571428567,0.41785714285714287,0.5178571428571429,0.275
tractor,0.5142857142857143,0.2857142857142857,0.37142857142857144,0.425,0.45714285714285713,0.5571428571428572,0.5142857142857143,0.4107142857142857,0.2642857142857143,0.29642857142857143,0.39285714285714285,0.3,0.2928571428571428,0.5571428571428572,0.45357142857142857,0.4607142857142857,0.2357142857142857,0.275,0.40714285714285714,0.24285714285714283,0.2571428571428572,0.275,0.25357142857142856,0.4035714285714286,1.0,0.31785714285714284,0.3821428571428572,0.275,0.6071428571428571,0.28214285714285714
tram,0.39285714285714285,0.2857142857142857,0.3464285714285714,0.37857142857142856,0.7142857142857143,0.44642857142857145,0.43571428571428567,0.375,0.28214285714285714,0.3464285714285714,0.3142857142857143,0.30714285714285716,0.35,0.32142857142857145,0.40714285714285714,0.5,0.26071428571428573,0.8142857142857143,0.29642857142857143,0.2785714285714286,0.25357142857142856,0.30714285714285716,0.30714285714285716,0.46785714285714286,0.31785714285714284,1.0,0.8214285714285714,0.32857142857142857,0.41785714285714287,0.28928571428571426
trein,0.425,0.38571428571428573,0.28928571428571426,0.33571428571428574,0.6392857142857143,0.4607142857142857,0.44642857142857145,0.43928571428571433,0.34285714285714286,0.3678571428571428,0.30714285714285716,0.3142857142857143,0.3392857142857143,0.3821428571428572,0.42142857142857143,0.48571428571428565,0.25357142857142856,0.7892857142857144,0.30714285714285716,0.35714285714285715,0.21785714285714283,0.2857142857142857,0.26785714285714285,0.43571428571428567,0.3821428571428572,0.8214285714285714,1.0,0.42142857142857143,0.5214285714285715,0.3678571428571428
vliegtuig,0.3678571428571428,0.375,0.2642857142857143,0.3107142857142857,0.48571428571428565,0.36428571428571427,0.3464285714285714,0.2785714285714286,0.3321428571428572,0.2571428571428572,0.25357142857142856,0.7214285714285714,0.4428571428571429,0.32857142857142857,0.23928571428571427,0.32142857142857145,0.6071428571428571,0.33571428571428574,0.3142857142857143,0.6,0.26071428571428573,0.24285714285714283,0.19642857142857142,0.41785714285714287,0.275,0.32857142857142857,0.42142857142857143,1.0,0.39285714285714285,0.6785714285714286
vrachtwagen,0.6642857142857144,0.37142857142857144,0.32857142857142857,0.33571428571428574,0.6428571428571429,0.9464285714285714,0.7857142857142857,0.49642857142857144,0.28928571428571426,0.2928571428571428,0.37857142857142856,0.32142857142857145,0.3107142857142857,0.6,0.45357142857142857,0.4428571428571429,0.3142857142857143,0.41785714285714287,0.42142857142857143,0.31785714285714284,0.24285714285714283,0.2642857142857143,0.20714285714285716,0.5178571428571429,0.6071428571428571,0.41785714285714287,0.5214285714285715,0.39285714285714285,1.0,0.35357142857142854
zeppelin,0.30714285714285716,0.39642857142857146,0.2785714285714286,0.2357142857142857,0.375,0.3321428571428572,0.2857142857142857,0.3464285714285714,0.39642857142857146,0.25,0.24642857142857144,0.5678571428571428,0.45714285714285713,0.22857142857142856,0.24642857142857144,0.2857142857142857,0.8285714285714286,0.25357142857142856,0.30357142857142855,0.41785714285714287,0.21785714285714283,0.2357142857142857,0.21428571428571427,0.275,0.28214285714285714,0.28928571428571426,0.3678571428571428,0.6785714285714286,0.35357142857142854,1.0
